Problems,Percent,Incorrect
27,96.3,1
63,87.3,8
120,90.8,11
32,87.5,4
29,100,0
82,85.4,12
43,83.7,7
157,89.2,16
74,91.9,6
37,91.9,3
36,88.9,4
76,85.5,10
51,92.2,4
73,87.7,9
221,84.2,35
47,97.9,1
136,83.1,22
374,76.2,77
3893 Prealgebra 23892 Prealgebra 14149 Introduction to Algebra APrealgebraAlgebraNumber TheoryCounting & ProbabilityGeometryIntermediate AlgebraPrecalculusAll Topics4149 Introduction to Algebra A,85.3,10
46,87,5
47,85.1,6
93,86,9
63,82.5,8
102,69.6,23
45,91.1,4
64,90.6,4
92,82.6,12
146,73.3,27
29,89.7,2
55,85.5,7
105,75.2,23
31,93.6,2
76,77.6,10
3893 Prealgebra 23892 Prealgebra 14149 Introduction to Algebra APrealgebraAlgebraNumber TheoryCounting & ProbabilityGeometryIntermediate AlgebraPrecalculusAll Topics4149 Introduction to Algebra A,81.4,17
